state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,Autauga,1001,Republican,Donald Trump,5387,0.445
Alabama,AL,Autauga,1001,Republican,Ted Cruz,2482,0.205
Alabama,AL,Autauga,1001,Republican,Marco Rubio,1785,0.14800000000000002
Alabama,AL,Autauga,1001,Republican,Ben Carson,1764,0.146
Alabama,AL,Autauga,1001,Republican,John Kasich,421,0.035
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,2387,0.8
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,544,0.182
Alabama,AL,Baldwin,1003,Republican,Donald Trump,23618,0.469
Alabama,AL,Baldwin,1003,Republican,Marco Rubio,9703,0.193
Alabama,AL,Baldwin,1003,Republican,Ted Cruz,8571,0.17
Alabama,AL,Baldwin,1003,Republican,Ben Carson,4221,0.084
Alabama,AL,Baldwin,1003,Republican,John Kasich,2987,0.059000000000000004
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,5290,0.647
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,2694,0.32899999999999996
Alabama,AL,Barbour,1005,Republican,Donald Trump,1710,0.501
Alabama,AL,Barbour,1005,Republican,Ted Cruz,609,0.179
Alabama,AL,Barbour,1005,Republican,Marco Rubio,498,0.146
Alabama,AL,Barbour,1005,Republican,Ben Carson,417,0.122
Alabama,AL,Barbour,1005,Republican,John Kasich,123,0.036000000000000004
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,2567,0.9059999999999999
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,222,0.078
Alabama,AL,Bibb,1007,Republican,Donald Trump,1959,0.494
Alabama,AL,Bibb,1007,Republican,Ted Cruz,1011,0.255
Alabama,AL,Bibb,1007,Republican,Marco Rubio,444,0.11199999999999999
Alabama,AL,Bibb,1007,Republican,Ben Carson,393,0.099
Alabama,AL,Bibb,1007,Republican,John Kasich,84,0.021
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,942,0.755
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,246,0.19699999999999998
Alabama,AL,Blount,1009,Republican,Donald Trump,7390,0.48700000000000004
Alabama,AL,Blount,1009,Republican,Ted Cruz,3698,0.244
Alabama,AL,Blount,1009,Republican,Marco Rubio,1843,0.122
Alabama,AL,Blount,1009,Republican,Ben Carson,1523,0.1
Alabama,AL,Blount,1009,Republican,John Kasich,337,0.022000000000000002
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,564,0.551
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,395,0.386
Alabama,AL,Bullock,1011,Republican,Donald Trump,313,0.565
Alabama,AL,Bullock,1011,Republican,Ted Cruz,94,0.17
Alabama,AL,Bullock,1011,Republican,Marco Rubio,64,0.11599999999999999
Alabama,AL,Bullock,1011,Republican,Ben Carson,47,0.085
Alabama,AL,Bullock,1011,Republican,John Kasich,23,0.042
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,2451,0.9129999999999999
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,178,0.066
Alabama,AL,Butler,1013,Republican,Donald Trump,1720,0.5379999999999999
Alabama,AL,Butler,1013,Republican,Ted Cruz,534,0.16699999999999998
Alabama,AL,Butler,1013,Republican,Marco Rubio,427,0.133
Alabama,AL,Butler,1013,Republican,Ben Carson,377,0.11800000000000001
Alabama,AL,Butler,1013,Republican,John Kasich,86,0.027000000000000003
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,2196,0.9209999999999999
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,156,0.065
Alabama,AL,Calhoun,1015,Republican,Donald Trump,8960,0.451
Alabama,AL,Calhoun,1015,Republican,Ted Cruz,3859,0.19399999999999998
Alabama,AL,Calhoun,1015,Republican,Marco Rubio,3251,0.163
Alabama,AL,Calhoun,1015,Republican,Ben Carson,2350,0.11800000000000001
Alabama,AL,Calhoun,1015,Republican,John Kasich,957,0.048
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,5011,0.765
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,1425,0.218
Alabama,AL,Chambers,1017,Republican,Donald Trump,2169,0.47600000000000003
Alabama,AL,Chambers,1017,Republican,Ted Cruz,914,0.2
Alabama,AL,Chambers,1017,Republican,Ben Carson,595,0.131
Alabama,AL,Chambers,1017,Republican,Marco Rubio,595,0.131
Alabama,AL,Chambers,1017,Republican,John Kasich,168,0.037000000000000005
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,2899,0.8859999999999999
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,312,0.095
Alabama,AL,Cherokee,1019,Republican,Donald Trump,2777,0.521
Alabama,AL,Cherokee,1019,Republican,Ted Cruz,921,0.17300000000000001
Alabama,AL,Cherokee,1019,Republican,Marco Rubio,810,0.152
Alabama,AL,Cherokee,1019,Republican,Ben Carson,534,0.1
Alabama,AL,Cherokee,1019,Republican,John Kasich,151,0.027999999999999997
Alabama,AL,Cherokee,1019,Democrat,Hillary Clinton,712,0.6609999999999999
Alabama,AL,Cherokee,1019,Democrat,Bernie Sanders,268,0.249
Alabama,AL,Chilton,1021,Republican,Donald Trump,5273,0.493
Alabama,AL,Chilton,1021,Republican,Ted Cruz,2328,0.218
Alabama,AL,Chilton,1021,Republican,Marco Rubio,1436,0.134
Alabama,AL,Chilton,1021,Republican,Ben Carson,1149,0.10800000000000001
Alabama,AL,Chilton,1021,Republican,John Kasich,218,0.02
Alabama,AL,Chilton,1021,Democrat,Hillary Clinton,860,0.731
Alabama,AL,Chilton,1021,Democrat,Bernie Sanders,289,0.24600000000000002
Alabama,AL,Choctaw,1023,Republican,Donald Trump,1070,0.499
Alabama,AL,Choctaw,1023,Republican,Ted Cruz,451,0.21
Alabama,AL,Choctaw,1023,Republican,Marco Rubio,315,0.147
Alabama,AL,Choctaw,1023,Republican,Ben Carson,169,0.079
Alabama,AL,Choctaw,1023,Republican,John Kasich,68,0.032
Alabama,AL,Choctaw,1023,Democrat,Hillary Clinton,1772,0.802
Alabama,AL,Choctaw,1023,Democrat,Bernie Sanders,273,0.124
Alabama,AL,Clarke,1025,Republican,Donald Trump,2308,0.502
Alabama,AL,Clarke,1025,Republican,Ted Cruz,886,0.193
Alabama,AL,Clarke,1025,Republican,Marco Rubio,805,0.175
Alabama,AL,Clarke,1025,Republican,Ben Carson,410,0.08900000000000001
Alabama,AL,Clarke,1025,Republican,John Kasich,125,0.027000000000000003
Alabama,AL,Clarke,1025,Democrat,Hillary Clinton,3148,0.93
Alabama,AL,Clarke,1025,Democrat,Bernie Sanders,213,0.063
Alabama,AL,Clay,1027,Republican,Donald Trump,1920,0.47600000000000003
Alabama,AL,Clay,1027,Republican,Ted Cruz,836,0.207
Alabama,AL,Clay,1027,Republican,Marco Rubio,505,0.125
Alabama,AL,Clay,1027,Republican,Ben Carson,492,0.122
Alabama,AL,Clay,1027,Republican,John Kasich,125,0.031
Alabama,AL,Clay,1027,Democrat,Hillary Clinton,807,0.818
Alabama,AL,Clay,1027,Democrat,Bernie Sanders,135,0.13699999999999998
Alabama,AL,Cleburne,1029,Republican,Donald Trump,2120,0.483
Alabama,AL,Cleburne,1029,Republican,Ted Cruz,928,0.21100000000000002
Alabama,AL,Cleburne,1029,Republican,Marco Rubio,598,0.136
Alabama,AL,Cleburne,1029,Republican,Ben Carson,437,0.1
Alabama,AL,Cleburne,1029,Republican,John Kasich,106,0.024
Alabama,AL,Cleburne,1029,Democrat,Hillary Clinton,221,0.732
Alabama,AL,Cleburne,1029,Democrat,Bernie Sanders,72,0.23800000000000002
Alabama,AL,Coffee,1031,Republican,Donald Trump,4304,0.414
Alabama,AL,Coffee,1031,Republican,Ted Cruz,2421,0.233
Alabama,AL,Coffee,1031,Republican,Marco Rubio,1608,0.155
Alabama,AL,Coffee,1031,Republican,Ben Carson,1368,0.132
Alabama,AL,Coffee,1031,Republican,John Kasich,377,0.036000000000000004
Alabama,AL,Coffee,1031,Democrat,Hillary Clinton,1493,0.772
Alabama,AL,Coffee,1031,Democrat,Bernie Sanders,389,0.201
Alabama,AL,Colbert,1033,Republican,Donald Trump,3858,0.474
Alabama,AL,Colbert,1033,Republican,Ted Cruz,1601,0.19699999999999998
Alabama,AL,Colbert,1033,Republican,Marco Rubio,1443,0.177
Alabama,AL,Colbert,1033,Republican,Ben Carson,884,0.109
Alabama,AL,Colbert,1033,Republican,John Kasich,250,0.031
Alabama,AL,Colbert,1033,Democrat,Hillary Clinton,3879,0.65
Alabama,AL,Colbert,1033,Democrat,Bernie Sanders,1342,0.225
Alabama,AL,Conecuh,1035,Republican,Donald Trump,768,0.59
Alabama,AL,Conecuh,1035,Republican,Ted Cruz,208,0.16
Alabama,AL,Conecuh,1035,Republican,Marco Rubio,141,0.10800000000000001
Alabama,AL,Conecuh,1035,Republican,Ben Carson,137,0.105
Alabama,AL,Conecuh,1035,Republican,John Kasich,17,0.013000000000000001
Alabama,AL,Conecuh,1035,Democrat,Hillary Clinton,2031,0.7140000000000001
Alabama,AL,Conecuh,1035,Democrat,Bernie Sanders,544,0.191
Alabama,AL,Coosa,1037,Republican,Donald Trump,1233,0.5529999999999999
Alabama,AL,Coosa,1037,Republican,Ted Cruz,435,0.195
Alabama,AL,Coosa,1037,Republican,Marco Rubio,241,0.10800000000000001
Alabama,AL,Coosa,1037,Republican,Ben Carson,201,0.09
Alabama,AL,Coosa,1037,Republican,John Kasich,66,0.03
Alabama,AL,Coosa,1037,Democrat,Hillary Clinton,1012,0.877
Alabama,AL,Coosa,1037,Democrat,Bernie Sanders,125,0.10800000000000001
Alabama,AL,Covington,1039,Republican,Donald Trump,4608,0.48100000000000004
Alabama,AL,Covington,1039,Republican,Ted Cruz,1773,0.185
Alabama,AL,Covington,1039,Republican,Marco Rubio,1277,0.133
Alabama,AL,Covington,1039,Republican,Ben Carson,1275,0.133
Alabama,AL,Covington,1039,Republican,John Kasich,324,0.034
Alabama,AL,Covington,1039,Democrat,Hillary Clinton,737,0.773
Alabama,AL,Covington,1039,Democrat,Bernie Sanders,188,0.19699999999999998
Alabama,AL,Crenshaw,1041,Republican,Donald Trump,1496,0.545
Alabama,AL,Crenshaw,1041,Republican,Ted Cruz,602,0.21899999999999997
Alabama,AL,Crenshaw,1041,Republican,Ben Carson,286,0.10400000000000001
Alabama,AL,Crenshaw,1041,Republican,Marco Rubio,250,0.091
Alabama,AL,Crenshaw,1041,Republican,John Kasich,70,0.026000000000000002
Alabama,AL,Crenshaw,1041,Democrat,Hillary Clinton,908,0.878
Alabama,AL,Crenshaw,1041,Democrat,Bernie Sanders,107,0.10300000000000001
Alabama,AL,Cullman,1043,Republican,Donald Trump,10618,0.506
Alabama,AL,Cullman,1043,Republican,Ted Cruz,4248,0.203
Alabama,AL,Cullman,1043,Republican,Marco Rubio,2832,0.135
Alabama,AL,Cullman,1043,Republican,Ben Carson,2301,0.11
Alabama,AL,Cullman,1043,Republican,John Kasich,558,0.027000000000000003
Alabama,AL,Cullman,1043,Democrat,Hillary Clinton,1275,0.608
Alabama,AL,Cullman,1043,Democrat,Bernie Sanders,723,0.345
Alabama,AL,Dale,1045,Republican,Donald Trump,4151,0.45299999999999996
Alabama,AL,Dale,1045,Republican,Ted Cruz,2008,0.21899999999999997
Alabama,AL,Dale,1045,Republican,Marco Rubio,1194,0.13
Alabama,AL,Dale,1045,Republican,Ben Carson,1150,0.125
Alabama,AL,Dale,1045,Republican,John Kasich,333,0.036000000000000004
Alabama,AL,Dale,1045,Democrat,Hillary Clinton,1544,0.77
Alabama,AL,Dale,1045,Democrat,Bernie Sanders,415,0.207
Alabama,AL,Dallas,1047,Republican,Donald Trump,523,0.597
Alabama,AL,Dallas,1047,Republican,Ted Cruz,181,0.207
Alabama,AL,Dallas,1047,Republican,Marco Rubio,76,0.087
Alabama,AL,Dallas,1047,Republican,Ben Carson,46,0.053
Alabama,AL,Dallas,1047,Republican,John Kasich,23,0.026000000000000002
Alabama,AL,Dallas,1047,Democrat,Hillary Clinton,8577,0.7440000000000001
Alabama,AL,Dallas,1047,Democrat,Bernie Sanders,1774,0.154
Alabama,AL,Elmore,1051,Republican,Donald Trump,8525,0.478
Alabama,AL,Elmore,1051,Republican,Ted Cruz,3236,0.182
Alabama,AL,Elmore,1051,Republican,Ben Carson,2630,0.14800000000000002
Alabama,AL,Elmore,1051,Republican,Marco Rubio,2387,0.134
Alabama,AL,Elmore,1051,Republican,John Kasich,634,0.036000000000000004
Alabama,AL,Elmore,1051,Democrat,Hillary Clinton,3019,0.8009999999999999
Alabama,AL,Elmore,1051,Democrat,Bernie Sanders,694,0.184
